Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
Viral Hepatitis Surveillance Program,Laura H.,,,Centers for Disease Control and Prevention (CDC) ,Gov,,1996-current,Current,1996,C,http://www.cdc.gov/hepatitis/statistics/surveillanceguidelines.htm,United States,,,United States,,,,,http://www.cdc.gov/hepatitis/statistics/surveillanceguidelines.htm,PHOR,no,,yes,no,no,,Hepatitis,,
National HIV Surveillance System (NHSS),Faith,,,"CDC; National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention (NCHHSTP)",Gov,,,Current,2008,C,http://www.cdc.gov/hiv/statistics/,,,,United States,,,,,http://www.cdc.gov/hiv/statistics/,PHOR,no,,yes,no,no,,HIV/AIDS,,
Oregon Weekly/Monthly CD Surveillance Report,Laura H.,,,Oregon Health Authority,Gov,,,Current,1997,C,https://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/AnnualReports/Pages/arpt.aspx,,,Oregon,United States,,,,,https://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Weekly-MonthlyStatistics/Pages/index.aspx,PHOR,no,no,yes,no,no,,nonspecific,,
Merlin,Olivia W.,** Requires Internet Explorer to view,,Florida Department of Health,Gov,,,Current,1992,C,http://www.floridahealth.gov/diseases-and-conditions/disease-reporting-and-management/disease-reporting-and-surveillance/surveillance-systems.html,,,Florida,United States,,"Florida county health departments, Bureau of Epidemiology, partners from hospital community, urgent care centers, Merlin system, Florida Poison Information Network, office of vital statistics death data","De-identified emergency department data from 163 hospitals and urgent care centers (updated once daily), de-identified Merlin reportable disease data from the Merlin system (updated once every hour), de-identified Florida Poison Information Network data (updated every 20 minutes); 4) Deidentified Florida Office of Vital Statistics Death Data (updated once daily)",,http://www.floridahealth.gov/diseases-and-conditions/disease-reporting-and-management/disease-reporting-and-surveillance/surveillance-systems.html,"PHOR, clinical",no,no,yes,no,no,,nonspecific,,
Surveillance for Emerging Antimicrobial Resistance Connected to Healthcare (S.E.A.R.C.H.),Laura H.,,,Centers for Disease Control and Prevention (CDC),Gov ,,,nf ,nf ,nf ,http://www.cdc.gov/hai/settings/lab/SEARCH.html,,,,United States,,,,,http://www.cdc.gov/hai/settings/lab/SEARCH.html,"PHOR, lab, clinical",no,no,yes,no,no,,antimicrobial resistance,,
NHSBT/PHE surveillance programme,Faith,,,Public Health England,Gov,,,Terminated,2011,2013,https://www.gov.uk/blood-tissue-and-organ-donors-surveillance-schemes,,,,United Kingdom,,,,,https://www.gov.uk/blood-tissue-and-organ-donors-surveillance-schemes,lab,no,,yes,no,no,,"hepatitis B, hepatitis C, HIV/AIDS, HTLV, treponemal infections",also other diseases as appropriate (ex. malaria if blood donor traveled to a country where it is endemic),
UK Severe Influenza Surveillance System (USISS),Faith,,,Public Health England,Gov,,,Terminated,2011,2012,http://webarchive.nationalarchives.gov.uk/20140626151846/http://hpa.org.uk/webc/HPAwebFile/HPAweb_C/1317132396353,,,,United Kingdom,,,,,http://webarchive.nationalarchives.gov.uk/20140626151846/http://hpa.org.uk/webc/HPAwebFile/HPAweb_C/1317132396353,lab,no,,yes,no,no,,influenza,http://webarchive.nationalarchives.gov.uk/20140626151846/http://hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/SeasonalInfluenza/EpidemiologicalData/30influsSourcesofUKfludata/,
PHE VRD/RCGP scheme,Faith,,,Public Health England,Gov,,,Current,2007,C,https://www.gov.uk/sources-of-uk-flu-data-influenza-surveillance-in-the-uk,,,,United Kingdom,,,,,https://www.gov.uk/sources-of-uk-flu-data-influenza-surveillance-in-the-uk,lab,no,,yes,no,no,ILI,influenza,,
HIV and AIDS Reporting System (HARS),Faith,Enhanced HIV/AIDS Reporting System (eHARS),,Public Health England,Gov,,,Absorbed,1981,2012,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/213117/HIV-Outpatients-HARS-Presentation.pdf,,,,United Kingdom,,,,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/213117/HIV-Outpatients-HARS-Presentation.pdf,,no,,yes,no,no,,HIV/AIDS,,
Thai National Influenza Center: Influenza Surveillance,Laura H.,,,Thai National Influenza Center,Gov,,,Current,2008,2010,http://www.thainihnic.org/WeeklyReport.asp,Thailand,,,Thailand,,,,,http://www.thainihnic.org/WeeklyReport.asp,clinical,no,,yes,no,no,,Influenza,,
Malaria Early Epidemic Detection System (MEEDS),Olivia W.,,,The Zanzibar Malaria Control Program (ZMCP),Gov,,,Absorbed,2008,2013,http://globalhealthsciences.ucsf.edu/sites/default/files/content/ghg/mei-surveillance-systems-to-facilitate.pdf,,,Zanzibar,Tanzania,,,mobile reporting,,http://globalhealthsciences.ucsf.edu/sites/default/files/content/ghg/mei-surveillance-systems-to-facilitate.pdf,"clinical, other surveillance systems",no,no,yes,no,no,,malaria,,
"Disease Surveillance Express, Taiwan",Laura H.,,,"Centers for Disease Control, Taiwan ",Gov,,2003-current,Current,2003,C,http://www.cdc.gov.tw/english/list.aspx?treeid=00ED75D6C887BB27&nowtreeid=F0131176AA46D5DB,Taiwan,,,Taiwan,,,,,http://www.cdc.gov.tw/english/list.aspx?treeid=00ED75D6C887BB27&nowtreeid=F0131176AA46D5DB,"PHOR, clinical, lab",no,,yes,no,no,,"Anthrax, Botulism, Brucellosis, Chikungunya Fever, Dengue, DHF, Diphtheria, Hantavirus pulmonary syndrome (HPS), HIV/AIDS, Legionnaire's Disease, Leptospirosis, Lyme Disease, Malaria, Marburg Fever, Measles, Melioidosis, Cyclosporiasis, Pertussis",,
"Enhanced Pertussis Surveillance Program, Sweden",Faith,,,Smittskyddinstitutet,Gov,,,Terminated,1997,2010,http://www.folkhalsomyndigheten.se/pagefiles/14856/pertussis-surveillance%20in-sweden-thirteen-year-report.pdf,,,,Sweden,,,,,http://www.folkhalsomyndigheten.se/pagefiles/14856/pertussis-surveillance%20in-sweden-thirteen-year-report.pdf,lab,no,,yes,no,no,,pertussis,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=21032,
Suspected Measels Case-based Surveillance,Faith,,,National Institute for Communicable Diseases,Gov,,,Terminated,2012,2012,http://www.nicd.ac.za/?page=measles_surveillance&id=168,,,,South Africa,,,,,http://www.nicd.ac.za/?page=measles_surveillance&id=168,lab,no,,yes,no,no,"fever >38°C and rash, and at least one of: cough, coryza or conjunctivitis",measels,,
GERMS-SA,Faith,,,National Institute for Communicable Diseases,Gov,,,Current,2010,C,http://www.nicd.ac.za/?page=div_publ_health&id=23,,,,South Africa,,,,,http://www.nicd.ac.za/?page=div_publ_health&id=23,lab,no,,yes,no,no,,"pneumonia, meningitis, diarrheal diseases",http://www.nicd.ac.za/?page=germs-sa&id=97,
Rotavirus Surveillance,Faith,,,National Institute for Communicable Diseases,Gov,,,Current,2009,C,http://www.nicd.ac.za/?page=rotavirus_surveillance&id=90,,,,South Africa,,,,,http://www.nicd.ac.za/?page=rotavirus_surveillance&id=90,lab,no,,yes,no,no,diarrhea,rotavirus,,
Surveillance of healthcare associated (HAI) Clostridium difficile infection (CDI),Faith,,,Health Protection Scotland,Gov,,,Current,2006,C,http://www.hps.scot.nhs.uk/haiic/amr/ssdetail.aspx?id=277,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/haiic/amr/surveillancesystems.aspx,clinical,no,,yes,no,no,,Clostridium difficile infection,,
Surveillance programme for outbreaks of healthcare associated infection,Faith,,,Health Protection Scotland,Gov,,,nf ,nf ,nf ,http://www.hps.scot.nhs.uk/haiic/amr/ssdetail.aspx?id=130,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/haiic/amr/surveillancesystems.aspx,clinical,no,,yes,no,no,,healthcare associated infections,,
Surveillance of attributable HIV antibody tests in Scotland (HIV Denominator Study),Faith,,,Scottish Centre for Infection and Environmental Health,Gov,,,Terminated,1988,2009,http://www.hps.scot.nhs.uk/bbvsti/ssdetail.aspx?id=34,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/bbvsti/surveillancesystems.aspx,clinical,no,,yes,no,no,,HIV/AIDS,,
CD4 and Viral Load Surveillance System,Faith,,,Health Protection Scotland,Gov,,,nf ,nf ,nf ,http://www.hps.scot.nhs.uk/bbvsti/ssdetail.aspx?id=55,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/bbvsti/surveillancesystems.aspx,clinical,no,,yes,no,no,,HIV/AIDS,,
Scottish Enhanced Respiratory Virus Infection Surveillance (SERVIS),Faith,,,Health Protection Scotland,Gov,,,Absorbed,1998,2009,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,clinical,no,,yes,no,no,,influenza,,
Scottish Pneumococcal Invasive Disease Enhanced Reporting (SPIDER),Faith,,,Health Protection Scotland,Gov,,,Current,1998,C,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,clinical,no,,yes,no,no,,invasive pneumococcal disease,,
Surveillance of Antimicrobial Resistance in Urinary Isolates in Scotland,Faith,,,Health Protection Scotland,Gov,,,Current,2012,C,http://www.hps.scot.nhs.uk/haiic/amr/ssdetail.aspx?id=452,,,,Scotland,,,,,http://www.documents.hps.scot.nhs.uk/hai/amr/protocol-for-surveillance-of-amr-in-urinary-isolates-in-scotland-v1.0.pdf,lab,no,,yes,no,no,,antimicrobial resistance,http://www.documents.hps.scot.nhs.uk/hai/amr/protocol-for-surveillance-of-amr-in-urinary-isolates-in-scotland-v1.0.pdf,
Surveillance of Antimicrobial Resistance in Scotland (SARIS),Faith,,,Health Protection Scotland,Gov,,,nf ,nf ,nf ,http://www.hps.scot.nhs.uk/haiic/amr/arissurveillance.aspx,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/haiic/amr/arissurveillance.aspx,lab,no,,yes,no,no,,antimicrobial resistance,,
Campylobacter Laboratory Reporting System,Faith,,,Health Protection Scotland,Gov,,,Current,1988,C,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=195,,,,Scotland,,,"Positive laboratory reports of Campylobacter, usually isolated from faeces but sometimes from blood.",,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,lab,no,,yes,no,no,,Campylobacter,http://www.documents.hps.scot.nhs.uk/giz/general/surveillance-systems.pdf,
Cryptosporidium Reference Laboratory Reports,Faith,,,Health Protection Scotland,Gov,,,Current,2000,C,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=103,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,lab,no,,yes,no,no,,Cryptosporidium,,
Protozoal Database,Faith,,,Health Protection Scotland,Gov,,,Current,1998,C,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=196,,,,Scotland,,microbiology laboratories,Positive laboratory reports of Cryptosporidium and Giardia in Scotland sent from microbiology labs.,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,lab,no,,yes,no,no,,"Cryptosporidium, Giardia",http://www.documents.hps.scot.nhs.uk/giz/general/surveillance-systems.pdf,
Hepatitis C Diagnoses Database,Faith,,,Health Protection Scotland,Gov,,,Current,1991,C,http://www.hps.scot.nhs.uk/bbvsti/ssdetail.aspx?id=33,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/bbvsti/surveillancesystems.aspx,lab,no,,yes,no,no,,Heptatits C,,
Listeria laboratory reporting in Scotland,Faith,,,Health Protection Scotland,Gov,,,Current,2002,C,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=197,,,,Scotland,,laboratories,Laboratory positive reports of Listeria,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,lab,no,,yes,no,no,,Listeria monocytogenes,http://www.documents.hps.scot.nhs.uk/giz/general/surveillance-systems.pdf,
The Electronic Communication of Surveillance in Scotland (ECOSS),Faith,,,Health Protection Scotland,Gov,,,Current,2008,C,http://www.hps.scot.nhs.uk/surveillance/SystemsDetail.aspx?id=248,,,,Scotland,,,,,www.gov.scot/Resource/Doc/924/0076150.doc,lab,no,,yes,no,no,,nonspecific,"all identifications, unless they are known to be of no public health significance",
GIZ organisms,Faith,,,Health Protection Scotland,Gov,,,nf ,nf ,nf ,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=200,,,,Scotland,,laboratories,Positive laboratory reports of all other GIZ pathogens in Scotland not specified in other registered GIZ systems,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,lab,no,,yes,no,no,,"nonspecific (gastrointestinal diseases, zoonoses)",http://www.documents.hps.scot.nhs.uk/giz/general/surveillance-systems.pdf,
Staphylococcus aureus Bacteraemia (SAB) Surveillance,Laura H.,,,Health Protection Scotland,Gov,,,Current,2011,Current,http://www.hps.scot.nhs.uk/haiic/sshaip/publications.aspx#mrsa,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/haiic/sshaip/publications.aspx#mrsa,lab,no,,yes,no,no,,SAB,,
Salmonella in Scotland lab reporting system,Faith,,,Health Protection Scotland,Gov,,,Current,1988,C,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=161,,,,Scotland,,,positive lab results/lab-confirmed cases,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,lab,no,,yes,no,no,,Salmonella,http://www.documents.hps.scot.nhs.uk/giz/general/surveillance-systems.pdf,
New diagnosis of HIV and AIDS,Faith,,,Health Protection Scotland,Gov,,,Current,1980s,C,http://www.hps.scot.nhs.uk/bbvsti/ssdetail.aspx?id=27,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/bbvsti/surveillancesystems.aspx,"lab, clinical",no,,yes,no,no,,HIV/AIDS,,
A Middle East Sub-Regional Laboratory-Based Surveillance Network on MERS-CoV,Olivia W.,,,Middle East Consortium for Infectious Diseases Surveillance (MECIDS),"Gov, NP",,,Current,2015,C,http://www.cordsnetwork.org/projects/a-middle-east-sub-regional-laboratory-based-surveillance-network-on-mers-cov/,,"Mecca, Hejaz",,Saudi Arabia ,,,laboratory confirmed cases,,http://www.cordsnetwork.org/projects/a-middle-east-sub-regional-laboratory-based-surveillance-network-on-mers-cov/,"lab, PHOR",no,,yes,no,no,,MERS,"Israeli, Jordanian and Palestinian Islamic pilgrims
",
Norwegian Surveillance System for Communicable Diseases (MSIS),Laura H.,,,Norwegian Institute of Public Health,Gov,,1977-current,Current,1977,C,http://www.msis.no/,Norway,,,Norway,,,,,http://www.msis.no/,"lab, clinical",no,,yes,no,no,,"Botulism, Brucellosis, C. difficile, Dengue, DHF, Hepatitis A, Hepatitis C, HIV/AIDS, Influenza (all strains, seasonal and pandemic), Measles, Campylobacteriosis, Hepatitis B, Cryptosporidiosis",,
KC60 Returns,Faith,,,Public Health Agency,Gov,,,Current,2000,C,http://www.publichealth.hscni.net/sites/default/files/directorates/files/STI%20surveillance%20report%202014.pdf,,,,Northern Ireland,,,,,http://webarchive.nationalarchives.gov.uk/+/http://www.isb.nhs.uk/library/standard/93,clinical,no,,yes,no,no,,STIs,,
CoSurv (Northern Ireland),Faith,,,Public Health Agency,Gov,,,nf ,nf ,nf ,http://www.swpho.nhs.uk/resource/item.aspx?RID=69980,,,,Northern Ireland,,regional laboratories,all confirmed organisms/infections,,http://www.swpho.nhs.uk/resource/item.aspx?RID=69980,lab,no,,yes,no,no,,nonspecific (reportable diseases),,http://www.publichealth.hscni.net/sites/default/files/N%20Ireland%20Gastrointestinal%20Surveillance%20Report%202013_0.pdf
Virological Surveillance,Olivia W.,,Robyn S.,Institute of Environmental Science and Research Ltd,"Gov, FP",,2004-current,current,2004,C,https://surv.esr.cri.nz/index.php,New Zealand,,,New Zealand,,"Laboratories from Auckland, Waikato, Christchurch and Dunedin Hospitals, Microbiology Laboratory of Wellington Hospital and public health virology of Institute of Environmental Sceince and Research",laboratory data,,https://surv.esr.cri.nz/index.php,lab,no,,yes,no,no,no,"influenza, respiratory viruses, herpes viruses, enteric viruses",,
Enteric Surveillance,Olivia W.,,Robyn S.,Institute of Environmental Science and Research Ltd,"Gov, FP",,1999 - 2004,terminated,1999,2004,https://surv.esr.cri.nz/index.php,New Zealand,,,New Zealand,,Laboratories,"non-human salmonella sero and phagetyping, identification service for other members of Enterobacteriaceae family and Campylobacter spp",,https://surv.esr.cri.nz/index.php,lab,no,,yes,no,no,,"Salmonella, Enterobacteriaceae family and Campylobacter spp",,
Griepsurveillance,Laura H.,,,Dutch National Institue for Public Health and the Environment (RIVM),Gov,,2011-current,Current,2011,C,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Griepsurveillance,Netherlands,,,Netherlands,,,,,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Griepsurveillance,clinical,no,,yes,no,no,influenza-like illnesss (ILI),influenza,,
Surveillance van antibioticaresistentie (ISIS-AR),Laura H.,,,Dutch National Institue for Public Health and the Environment (RIVM),Gov,,2011-current,Current,2011,C,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Infectieziekten_Surveillance_Informatie_Systeem_Antibiotica_Resistentie_ISIS_AR,Netherlands,,,Netherlands,,,,,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Infectieziekten_Surveillance_Informatie_Systeem_Antibiotica_Resistentie_ISIS_AR,lab,no,,yes,no,no,,antibiotic resistance,,
Virus Pathogen Database and Analysis Resource (ViPR),Laura H.,,,"Northrup Grumman Health IT, J. Craig Venter Institute, Vecna Technologies (funded by NIAID)","FP, NP",genome database,,Current,NF,C,http://www.viprbrc.org/brc/home,,n/a,n/a,n/a,n/a,,,genome database,http://www.viprbrc.org/brc/home,lab,no,,nf,nf,nf,,**,viruses,
MLST Databases,,KEEP,ZG-yes,"the laboratories of Martin Maiden, Dominique Caugant, Ian Feavers, Mark Achtman and Brian Spratt",NP,database,,Current,2005,C,http://www.mlst.net/,,n/a,n/a,n/a,n/a,,,,http://www.mlst.net/,lab,no,no,nf,nf,nf,,"B.burgdorferi, B.cereus, B.henselae, B.pseudomallei, C.albican, C.glabrata, C.trachomatis, C.krusei, C.tropicalis, C.jejuni, C.neoformans var grubii, E.coli, E.faecali, E.faecium, H.influenzae, H.pylori, Leptospira spp, M.catarrhalis, N.meningitidis, P.acnes, S.agalactiae, S.aureus, S.dysgalactiae, S.enterica, S.epidermidis, S.pneumoniae, S.pyogenes, S.suis, V.vulnificus",,
Ambulatory Sentinel Surveillance Network,Faith,,,"Lebanon Ministry of Health, WHO",Gov,,,NF,NF,NF,http://www.moph.gov.lb/Prevention/Surveillance/Pages/Sentinel.aspx,Lebanon,,,Lebanon,,,,,http://www.moph.gov.lb/Prevention/Surveillance/Pages/Sentinel.aspx,"Clinical, lab",no,,yes,no,no,"acute respiratory infection, acute watery diarrhea","measles, mumps, rubella, pertussis, dysentery, viral hepatitis A",,
International Nucleotide Sequence Database Collaboration (INSDC),,KEEP,ZG-yes,"DDBJ, NCBI, EMBL-EBI",Gov,database nucleotides,,Current,2005,C,http://www.insdc.org/,,,,"Japan, United States, Germany, France, United Kingdom, Italy",,,,,,,no,yes,yes,no,no,,NA,,
Illumina Infectious Disease Surveillance*,Laura H.,,,"Illumina, Inc.",FP,software,,Current,1976,C,http://www.illumina.com/areas-of-interest/microbiology/infectious-disease-surveillance.html,,,,"Japan, China",,,,,http://www.illumina.com/areas-of-interest/microbiology/infectious-disease-surveillance.html,lab,no,,nf,nf,nf,nf,nf,Can't find any actual software for surveillance  on their website,
DNA Data Bank of Japan (DDBJ),http://www.ddbj.nig.ac.jp/,KEEP,ZG-yes,National Institute of Genetics,Gov,database for sequences,,Current,1984,C,http://www.ddbj.nig.ac.jp/,,,,Japan,,,,,http://www.ddbj.nig.ac.jp/,lab,no,no,yes,no,no,,NA,nucleotide sequences,
Health Protection Surveillance Centre Weekly Reports (HPSC),Laura H.,,,Health Protection Surveillance Centre (HPSC),Gov,,2000-current,Current,2000,C,http://www.hpsc.ie/NotifiableDiseases/WeeklyIDReports/,,,,Ireland,,,,,http://www.hpsc.ie/NotifiableDiseases/WeeklyIDReports/,"clinical, lab",no,,yes,no,no,,nonspecific,,
Computerised Infectious Disease Reporting (CIDR),Olivia W.,in review,Karissa,Health Protection Surveillance Centre (part of the Human Service Executive),Gov,,2004- current,Current,2004,C,,Ireland,,,Ireland,,"Laboratories, public health professionals","laboratory data, clinical data, epidemiological data",,,"lab, clinical",no,,yes,no,no,,nonspecific,,
"National Center for Epidemiology, Hungary",Laura H.,,,European Centre for Disease Protection and Control (ECDC),Gov,,1998-current,Current,1998,C,http://www.oek.hu/oek.web?to=0&lang=hun,Hungary,,,Hungary,,,,,http://www.oek.hu/oek.web?to=0&lang=hun,lab,no,no,yes,no,no,no,nonspecific,,
Hellenic Center for Disease Control & Prevention (HCDCP),Laura H.,,,"Minstry of Health, Greece ",Gov,,2011-current,Current,2011,C,http://www2.keelpno.gr/blog/?page_id=30&lang=en,Greece,,,Greece,,,,,http://www2.keelpno.gr/blog/?page_id=30&lang=en,"PHOR, clinical, lab",no,,yes,no,no,,"Anthrax, Botulism, Brucellosis, Diphtheria, Legionnaire's Disease, Leishmaniasis, Leptospirosis, Listeriosis, Malaria, Measles, Melioidosis, Meningitis, Mumps, Hepatitis",,
EpiScanGIS,Laura H.,,,National Reference Centre for Meningococci (NRZM) ,NP ,,,Current,2002,C,http://www.episcangis.org/welcome.vm,Germany,,,Germany,,,,,http://www.episcangis.org/welcome.vm,lab,no,no,yes,no,no,,Meningococcal disease,,
European Vigilance Network for the Management of Antiviral Drug Resistance (VIRGIL),Olivia W.,,,European Commission,Gov,,,terminated,2004,2012,http://ec.europa.eu/research/health/infectious-diseases/emerging-epidemics/projects/137_en.html,,,,"France, Germany, United Kingdom, Belgium, Netherlands, Italy, Spain, Greece, Switzerland, Poland, Sweden, Austria, Israel, Luxembourg",,,"diagnostic tools, analysis of the virological mechanisms of antiviral treatment efficacy and resistance development and pharmacology to studies on host (patient-related) factors and the socio-economic impact of antiviral drug resistance.",,http://ec.europa.eu/research/health/infectious-diseases/emerging-epidemics/projects/137_en.html,"lab, journals",no,,yes,no,no,,"influenza, viral hepatitis",surveillance of emerging antiviral drug resistance,
European Diphtheria Surveillance Network (EDSN) (previously known as DIPNET),Olivia W.,,ZSG,"DG SANCO, transferred to European Centre for Disease Prevention and Control in 2010",Gov,,2006-current,Current,2006,C,http://ecdc.europa.eu/en/activities/surveillance/EDSN/Pages/index.aspx,"All 28 EU countries and the three EEA States: Norway, Iceland, and Liechtenstein.",,,"European Union, Norway, Iceland, Liechtenstein",,"Network of national surveillance systems, laboratories, contact points for diphtheria surveillance","laboratory-confirmed cases, clinical data and epidemiological & microbiological diphtheria",,http://ecdc.europa.eu/en/activities/surveillance/EDSN/Pages/index.aspx,"clinical, lab",no,no,yes,no,no,,diptheria,,
Eurosentinel Scheme,Olivia W.,,Robyn S.,European Centre for Disease Prevention and Control,Gov,,1987 - 1991,terminated,1987,1991,http://europepmc.org/abstract/MED/1635466,,,,European Union,,"Collaboration of sentinel networks of GPs, epidemiologists and virologists in Europe, integrated reporting of clinical and virological surveillance data",NF,,http://europepmc.org/abstract/MED/1635466,clinical,no,No,yes,no,no,,Influenza,http://ec.europa.eu/health/ph_threats/com/docs/ev_20070925_co06.pdf,
European Tuberculosis Surveillance Network,Faith,,,"ECDC, WHO/Europe",Gov,,,absorbed,1996,2007,http://ecdc.europa.eu/en/healthtopics/Tuberculosis/european_tuberculosis_surveillance_network/Pages/index.aspx,,,,European Union,,,,,http://ecdc.europa.eu/en/healthtopics/Tuberculosis/european_tuberculosis_surveillance_network/Pages/index.aspx,clinical,no,no,yes,no,no,,Tuberculosis,,
European Network for STI Surveillance,Olivia W.,in review,Karissa,funded by DG SANCO. Run by te ECDC,Gov,,"2001-2009 (after 2009, it was absorbed)",absorbed,2001,2009,http://ecdc.europa.eu/en/activities/surveillance/sti/Pages/index.aspx,Europe,,,European Union,,"Network of national STI surveillance systems, laboratories, clinicians","laboratory data, case reporting",,http://ecdc.europa.eu/en/activities/surveillance/sti/Pages/index.aspx,"clinical, lab",no,,yes,no,no,,chlamydia; lymphogranuloma venereum; gonorrhea; syphilis; congenital siphilis,,
European Network for HIV/AIDS Surveillance,Olivia W.,done,ZSG,"European Centre for Disease Prevention and Control, WHO Regional Office for Europe",Gov,,2008-,Current,2008,C,http://ecdc.europa.eu/en/activities/surveillance/hiv/Pages/index.aspx,Europe,,,European Union,,"Network of national surveillance systems, laboratories","laboratory-confirmed cases, clinical data",,http://ecdc.europa.eu/en/activities/surveillance/hiv/Pages/index.aspx,"clinical, lab",no,,yes,no,no,,HIV,,
European Union Invasive Bacterial Surveillence Database (IBID),Olivia W.,done,ZSG,European Commission DG Sanco,Gov,,1999-2007,terminated,1999,2007,http://ecdc.europa.eu/en/activities/surveillance/EU_IBD/Pages/index.aspx,Europe,,,European Union,,Network of national surveillance systems for invasive meningococcal and Haemophilus influenza disease,"laboratory data, epidemiological surveillance data",,http://ecdc.europa.eu/en/activities/surveillance/EU_IBD/Pages/index.aspx,"clinical, lab",no,,yes,no,no,,invasive bacterial diseases,,
Euronet P4,Faith,,,European Comission (DG SANCO),Gov,,Now NIV (network of infectious viruses),Absorbed,2005,2011,http://www.euronetp4.eu/,,,,European Union,,,,,http://www.europa.steiermark.at/cms/dokumente/11061847_6360410/2b8755d2/C3_Alert%20and%20Warning%20systems%20Brusels%202008.pdf,lab,no,,nf,nf,nf,,**,Group 4 biological agent means one that causes severe human disease and is a serious hazard to workers; it may present a high risk of spreading to the community; there is usually no effective prophylaxis or treatment available.,
European Reference Laboratory Network for Human Influenza (ERLI-Net),Olivia W.,,,European Centre for Disease Prevention and Control (ECDC),Gov,,,Terminated,2008,2013,http://ecdc.europa.eu/en/healthtopics/influenza/laboratory_network/Pages/laboratory_network.aspx,,,,European Union,,,,,http://ecdc.europa.eu/en/healthtopics/influenza/laboratory_network/Pages/laboratory_network.aspx,lab,no,,yes,no,no,,Influenza,,
Community Network of Reference Laboratories for Human Influenza in Europe (CNL) ----SEE---- European Influenza Surveillance Network (EISN),Olivia W.,,Robyn S.,European Union,Gov,,05/01/2003 - 09/01/2008,terminated,5/1/2003,9/1/2008,http://www.ncbi.nlm.nih.gov/pubmed/16157259,Europe,,,European Union,,European national influenza reference laboratories,"direct detection, culture, tying subtyping and strain characterisation of influenxa viruses, diagnostic serology, and the creation of archives for clinical specimes and virus isolates.",,http://www.ncbi.nlm.nih.gov/pubmed/16157259,lab,no,,no,no,no,,influenza,goal to improve capacity and quality of the laboratories and achieve consistent performance in routine influenza surveillance,
European Union Invasive Bacteria Infections Surveillance Network (EU-IBIS),Laura H.,,,"European Centre for Disease Prevention and Control (ECDC), European Commission DG Sanco",Gov,,1999-2007,Absorbed,1999,2007,http://www.hpa-bioinformatics.org.uk/euibis/,,,,European Union,,,,,http://www.hpa-bioinformatics.org.uk/euibis/,lab,no,,yes,no,no,,meningococcal disease,,
